Car Make,Car Model,Year,isElectric,Engine Size (L),Horsepower,Torque (lb-ft),0-60 MPH Time (seconds),Price (in USD)
Porsche,911,2022,False,3.0,379,331,4,101200
Lamborghini,Huracan,2021,False,5.2,630,443,2.8,274390
Ferrari,488 GTB,2022,False,3.9,661,561,3,333750
Audi,R8,2022,False,5.2,562,406,3.2,142700
McLaren,720S,2021,False,4.0,710,568,2.7,298000
BMW,M8,2022,False,4.4,617,553,3.1,130000
Mercedes-Benz,AMG GT,2021,False,4.0,523,494,3.8,118500
Chevrolet,Corvette,2021,False,6.2,490,465,2.8,59900
Ford,Mustang Shelby GT500,2022,False,5.2,760,625,3.5,81000
Nissan,GT-R Nismo,2021,False,3.8,600,481,2.5,212000
Aston Martin,DB11,2021,False,5.2,630,516,3.5,201495
Bugatti,Chiron,2021,False,8.0,1500,1180,2.4,3000000
Dodge,Challenger SRT Hellcat,2022,False,6.2,717,656,3.5,61000
Jaguar,F-Type,2022,False,3.0,296,295,5.4,70100
Koenigsegg,Jesko,2021,False,5.0,1280,1015,2.5,2800000
Lexus,LC 500,2021,False,5.0,471,398,4.4,92950
Lotus,Evora GT,2021,False,3.5,416,317,3.8,104450
Maserati,GranTurismo,2021,False,4.7,454,384,4.8,150000
Porsche,Boxster,2021,False,2.0,300,280,4.7,62000
Alfa Romeo,Giulia Quadrifoglio,2022,False,2.9,505,443,3.8,78000
Ariel,Atom,2021,False,2.0,320,243,2.8,75000
Bentley,Continental GT,2021,False,6.0,626,664,3.6,225000
McLaren,Artura,2022,False,3.0,671,531,3,225000
Mercedes-AMG,SLS AMG,2021,False,6.2,622,468,3.5,248000
Pagani,Huayra,2021,False,6.0,720,737,2.8,2800000
Polestar,1,2021,False,2.0,600,738,4.1,155000
Rimac,Nevera,2022,True,,1914,1696,1.85,2400000
Porsche,Cayman GT4,2022,False,4.0,414,309,3.8,100200
Lamborghini,Aventador SVJ,2021,False,6.5,759,531,2.8,517770
Ferrari,SF90 Stradale,2021,False,4.0,986,590,2.5,625000
Audi,RS7,2022,False,4.0,591,590,3.5,117000
McLaren,Artura,2021,False,3.0,671,531,3,225000
BMW,M4,2022,False,3.0,503,479,3.8,72800
Mercedes-Benz,SLS AMG,2015,False,6.2,622,468,3.2,222000
Chevrolet,Camaro ZL1,2021,False,6.2,650,650,3.5,64695
Ford,GT,2022,False,3.5,660,550,3,500000
Nissan,370Z Nismo,2021,False,3.7,350,276,4.5,45690
Porsche,Taycan 4S,2022,True,,562,479,3.8,104000
Lamborghini,Urus,2021,False,4.0,641,626,3.5,218000
Ferrari,Roma,2021,False,3.9,611,561,3.3,222000
Audi,RS3,2022,False,2.5,394,369,3.9,57000
McLaren,GT,2021,False,4.0,612,465,3.1,210000
BMW,i8,2020,True,,369,420,4.2,148500
Mercedes-Benz,CLS63 AMG,2019,False,4.0,603,627,3.4,132000
Porsche,Cayman,2021,False,2.0,300,280,5.1,58900
McLaren,570S,2021,False,3.8,562,443,2.8,192500
Mercedes-Benz,AMG C63,2021,False,4.0,503,516,3.8,68000
